underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2017-10-23,SPXW,2018-03-29,1100.000,C,0.0000,0.0000,0.0000,0.0000,0,40,1449.4000,40,1458.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0373,0.0000,470.7175,1,1443.2000,22,1466.0000,2536.0900,2586.0200,0.0000,0,
^SPX,2017-10-23,SPXW,2018-03-29,1100.000,P,0.0000,0.0000,0.0000,0.0000,0,163,0.3000,265,0.4500,2565.8000,2566.3000,2551.5482,2566.0500,0.4604,-0.0016,0.0000,-0.0123,0.0848,-1.8767,195,0.3000,185,0.4500,2536.0900,2586.0200,0.0000,812,
^SPX,2017-10-23,SPXW,2018-03-29,1200.000,C,0.0000,0.0000,0.0000,0.0000,0,40,1350.3000,40,1359.4000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0407,0.0000,513.5100,1,1344.1000,1,1366.9000,2536.0900,2586.0200,0.0000,0,
^SPX,2017-10-23,SPXW,2018-03-29,1200.000,P,0.0000,0.0000,0.0000,0.0000,0,180,0.4500,205,0.6000,2565.8000,2566.3000,2551.5482,2566.0500,0.4297,-0.0023,0.0000,-0.0161,0.1196,-2.7305,216,0.4500,105,0.6000,2536.0900,2586.0200,0.0000,403,
^SPX,2017-10-23,SPXW,2018-03-29,1300.000,C,0.0000,0.0000,0.0000,0.0000,0,40,1251.2000,40,1260.3000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0441,0.0000,556.3025,1,1245.0000,21,1267.5000,2536.0900,2586.0200,0.0000,0,
^SPX,2017-10-23,SPXW,2018-03-29,1300.000,P,0.0000,0.0000,0.0000,0.0000,0,179,0.6500,219,0.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.4007,-0.0033,0.0000,-0.0209,0.1663,-3.9215,229,0.6500,99,0.8000,2536.0900,2586.0200,0.0000,1159,
^SPX,2017-10-23,SPXW,2018-03-29,1400.000,C,0.0000,0.0000,0.0000,0.0000,0,40,1152.1000,40,1161.2000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0475,0.0000,599.0950,1,1146.0000,21,1168.5000,2536.0900,2586.0200,0.0000,0,
^SPX,2017-10-23,SPXW,2018-03-29,1400.000,P,0.0000,0.0000,0.0000,0.0000,0,239,0.8500,150,1.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.3700,-0.0044,0.0000,-0.0252,0.2177,-5.2736,60,0.9000,170,1.0500,2536.0900,2586.0200,0.0000,612,
^SPX,2017-10-23,SPXW,2018-03-29,1450.000,C,0.0000,0.0000,0.0000,0.0000,0,40,1102.6000,40,1111.7000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0492,0.0000,620.4912,1,1096.5000,10,1119.0000,2536.0900,2586.0200,0.0000,0,
^SPX,2017-10-23,SPXW,2018-03-29,1450.000,P,0.0000,0.0000,0.0000,0.0000,0,185,1.0000,205,1.1500,2565.8000,2566.3000,2551.5482,2566.0500,0.3565,-0.0053,0.0000,-0.0283,0.2541,-6.2599,210,1.0000,225,1.2000,2536.0900,2586.0200,0.0000,730,
^SPX,2017-10-23,SPXW,2018-03-29,1500.000,C,0.0000,0.0000,0.0000,0.0000,0,52,1053.2000,40,1062.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0509,0.0000,641.8875,12,1052.4000,12,1064.1000,2536.0900,2586.0200,0.0000,0,
